,sequence_id,case_id,prediction,maha_score,estimation_score,maha_img_score,supervised_score,glow_score,is_ood
0,0,pig3_0000026-0000036_o,,149.59843,0.00093741016,22.426065579451286,0.23718947,0.6118849,True
1,1,pig3_0000026-0000036_o,,149.59843,0.0010299059,22.999403694394275,0.23718947,0.6118849,True
2,2,pig3_0000026-0000036_o,,149.59843,0.0012306916,23.383116668185828,0.23718947,0.6118849,True
3,3,pig3_0000026-0000036_o,,149.59843,0.0013479786,22.871631685344035,0.23718947,0.6118849,True
4,4,pig3_0000026-0000036_o,,149.59843,0.00091236155,21.879131130384703,0.23718947,0.6118849,True
5,5,pig3_0000026-0000036_o,,149.59843,0.0012352839,22.31929794037007,0.23718947,0.6118849,True
6,6,pig3_0000026-0000036_o,,149.59843,0.0011679828,22.952813804419307,0.23718947,0.6118849,True
7,7,pig3_0000026-0000036_o,,149.59843,0.0011845392,21.984923385285427,0.23718947,0.6118849,True
8,8,pig3_0000026-0000036_o,,149.59843,0.0010421558,22.859528485261738,0.23718947,0.6118849,True
9,9,pig3_0000026-0000036_o,,149.59843,0.0015605346,23.388111388257343,0.23718947,0.6118849,True
10,0,pig3_0009769-0009779_o,,153.01476,0.0010904288,23.614345633104158,0.17094149,0.6152835,True
11,1,pig3_0009769-0009779_o,,153.01476,0.0010717746,22.91345443160146,0.17094149,0.6152835,True
12,2,pig3_0009769-0009779_o,,153.01476,0.0012231132,22.681028411287766,0.17094149,0.6152835,True
13,3,pig3_0009769-0009779_o,,153.01476,0.0012056541,22.866577070740092,0.17094149,0.6152835,True
14,4,pig3_0009769-0009779_o,,153.01476,0.0010759649,22.684741228339963,0.17094149,0.6152835,True
15,5,pig3_0009769-0009779_o,,153.01476,0.00066559575,22.186901189094133,0.17094149,0.6152835,True
16,6,pig3_0009769-0009779_o,,153.01476,0.0012529206,24.039130596020538,0.17094149,0.6152835,True
17,7,pig3_0009769-0009779_o,,153.01476,0.0011206982,22.10140962482804,0.17094149,0.6152835,True
18,8,pig3_0009769-0009779_o,,153.01476,0.0014943385,21.77926923578737,0.17094149,0.6152835,True
19,9,pig3_0009769-0009779_o,,153.01476,0.0009823241,22.762580509655898,0.17094149,0.6152835,True
20,0,pig3_0009841-0009851_o,,184.8028,0.020043079,24.14888217678041,0.0009304637,0.6132046,True
21,1,pig3_0009841-0009851_o,,184.8028,0.0011165023,23.563157147356222,0.0009304637,0.6132046,True
22,2,pig3_0009841-0009851_o,,184.8028,0.003221302,23.199800021622362,0.0009304637,0.6132046,True
23,3,pig3_0009841-0009851_o,,184.8028,0.007171482,23.585690533830817,0.0009304637,0.6132046,True
24,4,pig3_0009841-0009851_o,,184.8028,0.006528017,24.688189823850927,0.0009304637,0.6132046,True
25,5,pig3_0009841-0009851_o,,184.8028,0.0019415126,23.346529430060325,0.0009304637,0.6132046,True
26,6,pig3_0009841-0009851_o,,184.8028,0.0012511716,24.15943715650586,0.0009304637,0.6132046,True
27,7,pig3_0009841-0009851_o,,184.8028,0.009853207,24.40749173229275,0.0009304637,0.6132046,True
28,8,pig3_0009841-0009851_o,,184.8028,0.020306842,24.16042990728621,0.0009304637,0.6132046,True
29,9,pig3_0009841-0009851_o,,184.8028,0.0016294019,24.72195639096523,0.0009304637,0.6132046,True
30,0,pig3_0011427-0011437_o,,167.6547,0.0010374514,22.48012586234982,0.19110778,0.611966,True
31,1,pig3_0011427-0011437_o,,167.6547,0.0008480698,22.484076931018187,0.19110778,0.611966,True
32,2,pig3_0011427-0011437_o,,167.6547,0.0008770905,23.490529932276154,0.19110778,0.611966,True
33,3,pig3_0011427-0011437_o,,167.6547,0.0012944732,23.131011112069388,0.19110778,0.611966,True
34,4,pig3_0011427-0011437_o,,167.6547,0.0013395136,22.792448199393746,0.19110778,0.611966,True
35,5,pig3_0011427-0011437_o,,167.6547,0.0011448679,21.946092438191613,0.19110778,0.611966,True
36,6,pig3_0011427-0011437_o,,167.6547,0.0013321217,21.46934219494887,0.19110778,0.611966,True
37,7,pig3_0011427-0011437_o,,167.6547,0.0011068955,23.630532324367184,0.19110778,0.611966,True
38,8,pig3_0011427-0011437_o,,167.6547,0.0013887861,23.856982525097376,0.19110778,0.611966,True
39,9,pig3_0011427-0011437_o,,167.6547,0.0013385029,21.965128218881908,0.19110778,0.611966,True
40,0,pig3_0011648-0011658_o,,170.00717,0.0035881305,23.611854541413887,0.00028625934,0.61807585,True
41,1,pig3_0011648-0011658_o,,170.00717,0.015155189,24.818654377123043,0.00028625934,0.61807585,True
42,2,pig3_0011648-0011658_o,,170.00717,0.018361807,23.43465452009193,0.00028625934,0.61807585,True
43,3,pig3_0011648-0011658_o,,170.00717,0.02713122,24.14032465185805,0.00028625934,0.61807585,True
44,4,pig3_0011648-0011658_o,,170.00717,0.279931,24.806671881380836,0.00028625934,0.61807585,True
45,5,pig3_0011648-0011658_o,,170.00717,0.028131524,24.558308991322587,0.00028625934,0.61807585,True
46,6,pig3_0011648-0011658_o,,170.00717,0.11798772,25.576788516516885,0.00028625934,0.61807585,True
47,7,pig3_0011648-0011658_o,13.0,170.00717,0.34650987,26.295523829083034,0.00028625934,0.61807585,True
48,8,pig3_0011648-0011658_o,,170.00717,0.08969291,25.19100997101483,0.00028625934,0.61807585,True
49,9,pig3_0011648-0011658_o,,170.00717,0.048929486,25.03812353859005,0.00028625934,0.61807585,True
50,0,pig3_0012253-0012263_o,,157.26193,0.2989946,23.700482202100932,0.05953126,0.61745864,True
51,1,pig3_0012253-0012263_o,,157.26193,0.2829242,25.11031326739805,0.05953126,0.61745864,True
52,2,pig3_0012253-0012263_o,,157.26193,0.28937837,23.221596670655845,0.05953126,0.61745864,True
53,3,pig3_0012253-0012263_o,51.0,157.26193,0.50145876,24.70585951808613,0.05953126,0.61745864,True
54,4,pig3_0012253-0012263_o,,157.26193,0.27305788,24.314033282063594,0.05953126,0.61745864,True
55,5,pig3_0012253-0012263_o,,157.26193,0.18588033,24.755162212847647,0.05953126,0.61745864,True
56,6,pig3_0012253-0012263_o,53.0,157.26193,0.34998944,23.29826233645166,0.05953126,0.61745864,True
57,7,pig3_0012253-0012263_o,,157.26193,0.24209797,23.463314714609748,0.05953126,0.61745864,True
58,8,pig3_0012253-0012263_o,,157.26193,0.017614858,22.61688459585881,0.05953126,0.61745864,True
59,9,pig3_0012253-0012263_o,,157.26193,0.11624158,23.04615707865347,0.05953126,0.61745864,True
60,0,pig3_0012533-0012543_o,65.0,218.06139,0.81884503,29.437513772895958,0.00025136647,0.63519037,True
61,1,pig3_0012533-0012543_o,58.0,218.06139,0.8954872,30.634964967572113,0.00025136647,0.63519037,True
62,2,pig3_0012533-0012543_o,62.0,218.06139,0.84645945,30.387546762554617,0.00025136647,0.63519037,True
63,3,pig3_0012533-0012543_o,62.0,218.06139,0.7755155,29.411741475410427,0.00025136647,0.63519037,True
64,4,pig3_0012533-0012543_o,69.0,218.06139,0.9209985,28.938995913492825,0.00025136647,0.63519037,True
65,5,pig3_0012533-0012543_o,67.0,218.06139,0.8782358,27.33881848252615,0.00025136647,0.63519037,True
66,6,pig3_0012533-0012543_o,68.0,218.06139,0.8528455,27.216113801614586,0.00025136647,0.63519037,True
67,7,pig3_0012533-0012543_o,69.0,218.06139,0.86568415,27.483659758366105,0.00025136647,0.63519037,True
68,8,pig3_0012533-0012543_o,65.0,218.06139,0.88914293,27.419819099636317,0.00025136647,0.63519037,True
69,9,pig3_0012533-0012543_o,63.0,218.06139,0.90079814,29.27501509559061,0.00025136647,0.63519037,True
70,0,pig3_0013524-0013534_o,92.0,453.4004,1.0293384,27.823750530977435,0.6231243,0.6933017,True
71,1,pig3_0013524-0013534_o,87.0,453.4004,0.9442504,27.758364549231427,0.6231243,0.6933017,True
72,2,pig3_0013524-0013534_o,92.0,453.4004,0.9631581,27.668986310511936,0.6231243,0.6933017,True
73,3,pig3_0013524-0013534_o,86.0,453.4004,0.8731163,28.70802904137494,0.6231243,0.6933017,True
74,4,pig3_0013524-0013534_o,88.0,453.4004,0.9623484,28.104433156043655,0.6231243,0.6933017,True
75,5,pig3_0013524-0013534_o,91.0,453.4004,0.9767451,27.244866166925593,0.6231243,0.6933017,True
76,6,pig3_0013524-0013534_o,86.0,453.4004,0.98171926,27.397528672678963,0.6231243,0.6933017,True
77,7,pig3_0013524-0013534_o,90.0,453.4004,0.9093758,26.5562335638594,0.6231243,0.6933017,True
78,8,pig3_0013524-0013534_o,91.0,453.4004,0.9493622,29.130359158012507,0.6231243,0.6933017,True
79,9,pig3_0013524-0013534_o,89.0,453.4004,0.9846348,27.788891140050964,0.6231243,0.6933017,True
80,0,pig3_0014856-0014866_o,,150.38136,0.057866774,23.97736980917634,0.0048457934,0.6104881,True
81,1,pig3_0014856-0014866_o,,150.38136,0.012568902,23.2544847230051,0.0048457934,0.6104881,True
82,2,pig3_0014856-0014866_o,,150.38136,0.05746763,21.77998456922132,0.0048457934,0.6104881,True
83,3,pig3_0014856-0014866_o,,150.38136,0.10951627,22.6913481755398,0.0048457934,0.6104881,True
84,4,pig3_0014856-0014866_o,,150.38136,0.21204929,22.402555113185674,0.0048457934,0.6104881,True
85,5,pig3_0014856-0014866_o,102.0,150.38136,0.3475247,22.561867468609485,0.0048457934,0.6104881,True
86,6,pig3_0014856-0014866_o,,150.38136,0.19651735,22.910818646756724,0.0048457934,0.6104881,True
87,7,pig3_0014856-0014866_o,,150.38136,0.21951587,21.94525184131666,0.0048457934,0.6104881,True
88,8,pig3_0014856-0014866_o,,150.38136,0.03629665,23.47358993180077,0.0048457934,0.6104881,True
89,9,pig3_0014856-0014866_o,,150.38136,0.10769623,23.853976241216575,0.0048457934,0.6104881,True
90,0,pig3_0015200-0015210_o,85.0,352.70526,0.83884025,31.98367415312729,0.20693626,0.6553175,True
91,1,pig3_0015200-0015210_o,87.0,352.70526,0.9708819,31.001226167430705,0.20693626,0.6553175,True
92,2,pig3_0015200-0015210_o,88.0,352.70526,0.97247756,29.72359551153456,0.20693626,0.6553175,True
93,3,pig3_0015200-0015210_o,88.0,352.70526,0.89060664,28.6521489678117,0.20693626,0.6553175,True
94,4,pig3_0015200-0015210_o,94.0,352.70526,0.92740494,29.409226464659042,0.20693626,0.6553175,True
95,5,pig3_0015200-0015210_o,92.0,352.70526,0.90607697,29.907713660656388,0.20693626,0.6553175,True
96,6,pig3_0015200-0015210_o,94.0,352.70526,0.92034745,31.09532711128959,0.20693626,0.6553175,True
97,7,pig3_0015200-0015210_o,93.0,352.70526,0.9546028,30.276622931213208,0.20693626,0.6553175,True
98,8,pig3_0015200-0015210_o,91.0,352.70526,0.97025216,28.456937417276755,0.20693626,0.6553175,True
99,9,pig3_0015200-0015210_o,90.0,352.70526,0.96028775,29.457099978875434,0.20693626,0.6553175,True
100,0,pig3_0017669-0017679_o,,170.48378,0.002361328,28.071865320632675,0.00089493964,0.6189683,True
101,1,pig3_0017669-0017679_o,,170.48378,0.0045404597,27.073518490548775,0.00089493964,0.6189683,True
102,2,pig3_0017669-0017679_o,,170.48378,0.0026684103,27.818724587193365,0.00089493964,0.6189683,True
103,3,pig3_0017669-0017679_o,,170.48378,0.00448345,29.34341930583475,0.00089493964,0.6189683,True
104,4,pig3_0017669-0017679_o,,170.48378,0.002588467,26.001641535619736,0.00089493964,0.6189683,True
