,sequence_id,case_id,prediction,snr,is_ood
0,0,pig3_0000026-0000036_o,,1.074246,True
1,1,pig3_0000026-0000036_o,,1.074246,True
2,2,pig3_0000026-0000036_o,,1.074246,True
3,3,pig3_0000026-0000036_o,,1.074246,True
4,4,pig3_0000026-0000036_o,,1.074246,True
5,5,pig3_0000026-0000036_o,,1.074246,True
6,6,pig3_0000026-0000036_o,,1.074246,True
7,7,pig3_0000026-0000036_o,,1.074246,True
8,8,pig3_0000026-0000036_o,,1.074246,True
9,9,pig3_0000026-0000036_o,,1.074246,True
10,0,pig3_0009769-0009779_o,,1.0618901,True
11,1,pig3_0009769-0009779_o,,1.0618901,True
12,2,pig3_0009769-0009779_o,,1.0618901,True
13,3,pig3_0009769-0009779_o,,1.0618901,True
14,4,pig3_0009769-0009779_o,,1.0618901,True
15,5,pig3_0009769-0009779_o,,1.0618901,True
16,6,pig3_0009769-0009779_o,,1.0618901,True
17,7,pig3_0009769-0009779_o,,1.0618901,True
18,8,pig3_0009769-0009779_o,,1.0618901,True
19,9,pig3_0009769-0009779_o,,1.0618901,True
20,0,pig3_0009841-0009851_o,,1.0342511,True
21,1,pig3_0009841-0009851_o,,1.0342511,True
22,2,pig3_0009841-0009851_o,,1.0342511,True
23,3,pig3_0009841-0009851_o,,1.0342511,True
24,4,pig3_0009841-0009851_o,,1.0342511,True
25,5,pig3_0009841-0009851_o,,1.0342511,True
26,6,pig3_0009841-0009851_o,,1.0342511,True
27,7,pig3_0009841-0009851_o,,1.0342511,True
28,8,pig3_0009841-0009851_o,,1.0342511,True
29,9,pig3_0009841-0009851_o,,1.0342511,True
30,0,pig3_0011427-0011437_o,,1.0697674,True
31,1,pig3_0011427-0011437_o,,1.0697674,True
32,2,pig3_0011427-0011437_o,,1.0697674,True
33,3,pig3_0011427-0011437_o,,1.0697674,True
34,4,pig3_0011427-0011437_o,,1.0697674,True
35,5,pig3_0011427-0011437_o,,1.0697674,True
36,6,pig3_0011427-0011437_o,,1.0697674,True
37,7,pig3_0011427-0011437_o,,1.0697674,True
38,8,pig3_0011427-0011437_o,,1.0697674,True
39,9,pig3_0011427-0011437_o,,1.0697674,True
40,0,pig3_0011648-0011658_o,,1.0274038,True
41,1,pig3_0011648-0011658_o,,1.0274038,True
42,2,pig3_0011648-0011658_o,,1.0274038,True
43,3,pig3_0011648-0011658_o,,1.0274038,True
44,4,pig3_0011648-0011658_o,,1.0274038,True
45,5,pig3_0011648-0011658_o,,1.0274038,True
46,6,pig3_0011648-0011658_o,,1.0274038,True
47,7,pig3_0011648-0011658_o,13,1.0274038,True
48,8,pig3_0011648-0011658_o,,1.0274038,True
49,9,pig3_0011648-0011658_o,,1.0274038,True
50,0,pig3_0012253-0012263_o,,1.0193647,True
51,1,pig3_0012253-0012263_o,,1.0193647,True
52,2,pig3_0012253-0012263_o,,1.0193647,True
53,3,pig3_0012253-0012263_o,51,1.0193647,True
54,4,pig3_0012253-0012263_o,,1.0193647,True
55,5,pig3_0012253-0012263_o,,1.0193647,True
56,6,pig3_0012253-0012263_o,53,1.0193647,True
57,7,pig3_0012253-0012263_o,,1.0193647,True
58,8,pig3_0012253-0012263_o,,1.0193647,True
59,9,pig3_0012253-0012263_o,,1.0193647,True
60,0,pig3_0012533-0012543_o,65,0.8410142,True
61,1,pig3_0012533-0012543_o,58,0.8410142,True
62,2,pig3_0012533-0012543_o,62,0.8410142,True
63,3,pig3_0012533-0012543_o,62,0.8410142,True
64,4,pig3_0012533-0012543_o,69,0.8410142,True
65,5,pig3_0012533-0012543_o,67,0.8410142,True
66,6,pig3_0012533-0012543_o,68,0.8410142,True
67,7,pig3_0012533-0012543_o,69,0.8410142,True
68,8,pig3_0012533-0012543_o,65,0.8410142,True
69,9,pig3_0012533-0012543_o,63,0.8410142,True
70,0,pig3_0013524-0013534_o,92,0.75410885,True
71,1,pig3_0013524-0013534_o,87,0.75410885,True
72,2,pig3_0013524-0013534_o,92,0.75410885,True
