,sequence_id,case_id,prediction,target,ae,se,acc,pert_name,maha_score,estimation_score,maha_img_score,supervised_score,glow_score
0,0,pig4_0105878-0106878,,112.0,2.0757,4.30853049,0.0,noise,329.14032,0.06688811,75.4987295215362,0.99890435,1.8382757
1,1,pig4_0105878-0106878,,111.0,2.0794,4.32390436,0.0,noise,329.14032,0.017181052,64.92847610868903,0.99890435,1.8382757
2,2,pig4_0105878-0106878,,110.0,2.0831,4.339305609999999,0.0,noise,329.14032,0.0053611337,70.39029628771215,0.99890435,1.8382757
3,3,pig4_0105878-0106878,,109.0,2.0868,4.354734240000001,0.0,noise,329.14032,0.046241287,71.30101493310914,0.99890435,1.8382757
4,4,pig4_0105878-0106878,,108.0,2.0905,4.37019025,0.0,noise,329.14032,0.0036847892,71.10736481047846,0.99890435,1.8382757
5,5,pig4_0105878-0106878,,108.0,2.0905,4.37019025,0.0,noise,329.14032,0.0036847892,73.18892339972736,0.99890435,1.8382757
6,6,pig4_0105878-0106878,,107.0,2.0942,4.385673639999999,0.0,noise,329.14032,0.08929788,68.56868399269166,0.99890435,1.8382757
7,7,pig4_0105878-0106878,,106.0,2.0979,4.401184410000001,0.0,noise,329.14032,0.18790981,69.06869799498034,0.99890435,1.8382757
8,8,pig4_0105878-0106878,,105.0,2.1016,4.416722559999999,0.0,noise,329.14032,0.06816704,72.57844886280704,0.99890435,1.8382757
9,9,pig4_0105878-0106878,,105.0,2.1016,4.416722559999999,0.0,noise,329.14032,0.0036847892,72.90940687475924,0.99890435,1.8382757
10,10,pig4_0105878-0106878,113.0,104.0,0.033299999999999996,0.0011088899999999997,1.0,none,155.40764,0.87774694,32.20063968700948,0.16586266,0.9466701
11,11,pig4_0105878-0106878,111.0,104.0,0.02589999999999998,0.0006708099999999989,1.0,none,155.40764,0.8437313,32.5889752361477,0.16586266,0.9466701
12,12,pig4_0105878-0106878,115.0,103.0,0.04440000000000005,0.0019713600000000045,1.0,none,155.40764,0.85297275,30.58185457660747,0.16586266,0.9466701
13,13,pig4_0105878-0106878,101.0,103.0,0.007399999999999962,5.475999999999944e-05,1.0,none,155.40764,0.67864037,32.293825825389135,0.16586266,0.9466701
14,14,pig4_0105878-0106878,104.0,103.0,0.0037000000000000366,1.369000000000027e-05,1.0,none,155.40764,0.7467242,31.354243267845995,0.16586266,0.9466701
15,15,pig4_0105878-0106878,114.0,103.0,0.040700000000000014,0.0016564900000000011,1.0,none,155.40764,0.84759384,31.997301871676527,0.16586266,0.9466701
16,16,pig4_0105878-0106878,102.0,102.0,0.0,0.0,1.0,none,155.40764,0.8096155,33.23472467482922,0.16586266,0.9466701
17,17,pig4_0105878-0106878,110.0,102.0,0.029600000000000015,0.0008761600000000009,1.0,none,155.40764,0.73610854,31.812598754745764,0.16586266,0.9466701
18,18,pig4_0105878-0106878,102.0,102.0,0.0,0.0,1.0,none,155.40764,0.82784307,33.12036608583932,0.16586266,0.9466701
19,19,pig4_0105878-0106878,105.0,102.0,0.011099999999999999,0.00012320999999999998,1.0,none,155.40764,0.8359595,32.097860797763815,0.16586266,0.9466701
20,20,pig4_0105878-0106878,,101.0,2.1164,4.47914896,0.0,contr,785.05615,-0.00011980999,12.454859588233093,0.98775744,0.87378305
21,21,pig4_0105878-0106878,,101.0,2.1164,4.47914896,0.0,contr,785.05615,-0.00012378837,12.476600291613789,0.98775744,0.87378305
22,22,pig4_0105878-0106878,,101.0,2.1164,4.47914896,0.0,contr,785.05615,-0.0001758514,12.332436206751678,0.98775744,0.87378305
23,23,pig4_0105878-0106878,,101.0,2.1164,4.47914896,0.0,contr,785.05615,-0.00011961232,12.444805684712954,0.98775744,0.87378305
24,24,pig4_0105878-0106878,,100.0,2.1201,4.494824009999999,0.0,contr,785.05615,-0.0001264466,12.428492949215583,0.98775744,0.87378305
25,25,pig4_0105878-0106878,,100.0,2.1201,4.494824009999999,0.0,contr,785.05615,-0.00017148652,12.525401244891098,0.98775744,0.87378305
26,26,pig4_0105878-0106878,,100.0,2.1201,4.494824009999999,0.0,contr,785.05615,-0.00013998337,12.680445368085508,0.98775744,0.87378305
27,27,pig4_0105878-0106878,,100.0,2.1201,4.494824009999999,0.0,contr,785.05615,-0.00022922247,12.477204614848299,0.98775744,0.87378305
28,28,pig4_0105878-0106878,,101.0,2.1164,4.47914896,0.0,contr,785.05615,-0.00017218222,12.554045833628338,0.98775744,0.87378305
29,29,pig4_0105878-0106878,,101.0,2.1164,4.47914896,0.0,contr,785.05615,-0.0002227875,12.59221720753503,0.98775744,0.87378305
30,30,pig4_0105878-0106878,,0.0,2.4901,6.20059801,0.0,zoom,221.86563,0.0043885466,41.33344957854909,0.7415434,1.0929582
31,31,pig4_0105878-0106878,,0.0,2.4901,6.20059801,0.0,zoom,221.86563,0.005556591,41.67763386599181,0.7415434,1.0929582
32,32,pig4_0105878-0106878,,0.0,2.4901,6.20059801,0.0,zoom,221.86563,0.003968377,41.64673004971537,0.7415434,1.0929582
33,33,pig4_0105878-0106878,,0.0,2.4901,6.20059801,0.0,zoom,221.86563,0.0056247176,40.325579759487866,0.7415434,1.0929582
34,34,pig4_0105878-0106878,,0.0,2.4901,6.20059801,0.0,zoom,221.86563,0.0066094175,40.68996876652377,0.7415434,1.0929582
35,35,pig4_0105878-0106878,,0.0,2.4901,6.20059801,0.0,zoom,221.86563,0.0057067284,41.7152055505815,0.7415434,1.0929582
36,36,pig4_0105878-0106878,,0.0,2.4901,6.20059801,0.0,zoom,221.86563,0.0066009723,42.544945671661054,0.7415434,1.0929582
37,37,pig4_0105878-0106878,,0.0,2.4901,6.20059801,0.0,zoom,221.86563,0.018230213,44.80230990203664,0.7415434,1.0929582
38,38,pig4_0105878-0106878,,0.0,2.4901,6.20059801,0.0,zoom,221.86563,0.022878196,44.51384470161802,0.7415434,1.0929582
39,39,pig4_0105878-0106878,,0.0,2.4901,6.20059801,0.0,zoom,221.86563,0.016674573,47.25134121237758,0.7415434,1.0929582
40,40,pig4_0105878-0106878,98.0,102.0,0.01479999999999998,0.0002190399999999994,1.0,none,163.57954,0.83872324,34.33626131478277,0.29775438,0.9560039
41,41,pig4_0105878-0106878,101.0,102.0,0.003699999999999981,1.368999999999986e-05,1.0,none,163.57954,0.8271889,34.42838475259694,0.29775438,0.9560039
42,42,pig4_0105878-0106878,104.0,102.0,0.007400000000000018,5.476000000000026e-05,1.0,none,163.57954,0.76885986,32.75788859307013,0.29775438,0.9560039
43,43,pig4_0105878-0106878,103.0,102.0,0.003699999999999981,1.368999999999986e-05,1.0,none,163.57954,0.8059293,32.584935776225386,0.29775438,0.9560039
44,44,pig4_0105878-0106878,105.0,102.0,0.011099999999999999,0.00012320999999999998,1.0,none,163.57954,0.8926436,34.470915006090934,0.29775438,0.9560039
45,45,pig4_0105878-0106878,114.0,102.0,0.044399999999999995,0.0019713599999999997,1.0,none,163.57954,0.852661,32.70915919284822,0.29775438,0.9560039
46,46,pig4_0105878-0106878,102.0,103.0,0.003699999999999981,1.368999999999986e-05,1.0,none,163.57954,0.8808252,34.48477990058216,0.29775438,0.9560039
